City_ID,City,Country,Max_Temp,Weather_Description,Lat,Lng,Hotel Name
1270,wuwei,CN,50.0,clear sky,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
1271,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1273,moron,AR,62.01,overcast clouds,-34.65,-58.62,Hotel Morón
1276,bluff,NZ,64.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
1277,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1278,cape town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
1279,chingirlau,KZ,29.01,overcast clouds,51.09,54.08,
1281,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1283,grindavik,IS,42.8,moderate rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
1286,severo-kurilsk,RU,47.43,clear sky,50.68,156.12,Kak Doma
1288,xai-xai,MZ,68.65,clear sky,-25.05,33.64,Platinum Hotel
1289,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1292,begunitsy,RU,50.0,overcast clouds,59.59,29.32,"Baza Otdykha ""Uyutnyy Dvorik"""
1293,torbay,CA,46.99,few clouds,47.67,-52.73,Gallows Cove
1294,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1297,champerico,GT,69.01,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
1298,ornskoldsvik,SE,30.2,clear sky,63.29,18.72,First Hotel Statt
1301,rabo de peixe,PT,60.8,broken clouds,37.8,-25.58,Quinta das Giestas
1302,lagoa,PT,65.16,overcast clouds,39.05,-27.98,Casa Das Faias
1303,torbay,CA,46.99,few clouds,47.67,-52.73,Gallows Cove
1306,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1308,diego de almagro,CL,55.62,clear sky,-26.37,-70.05,hotel luna del desierto
1309,albany,US,57.99,overcast clouds,42.6,-73.97,
1310,cape town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
1311,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1313,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1316,general roca,AR,64.4,light rain,-39.03,-67.58,Hotel El Recreo
1317,yabrud,SY,66.0,clear sky,33.97,36.66,صالون مها حيدر - Salon Maha
1319,kulykivka,UA,49.59,overcast clouds,51.37,31.65,
1321,kamaishi,JP,60.8,light intensity shower rain,39.27,141.88,Hotel Route Inn Kamaishi
1324,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1329,lavrentiya,RU,36.39,clear sky,65.58,-171.0,
1330,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1331,sergeyevka,KZ,28.06,overcast clouds,53.88,67.42,
1332,nizhniy tsasuchey,RU,41.54,clear sky,50.52,115.13,
1336,pierre,US,30.0,overcast clouds,44.37,-100.35,Ramkota Hotel
1337,bethel,US,64.4,mist,41.37,-73.41,Courtyard by Marriott Danbury
1340,thompson,CA,26.6,light snow,55.74,-97.86,Burntwood Hotel
1341,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1342,bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
1343,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1344,nikolskoye,RU,50.0,overcast clouds,59.7,30.79,Tourist House - Sablino
1345,kennett,US,69.8,clear sky,36.24,-90.06,Americas Best Value Inn Kennett
1346,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1347,iqaluit,CA,28.4,light snow,63.75,-68.51,Frobisher Inn
1349,albany,US,57.99,overcast clouds,42.6,-73.97,
1351,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1354,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1356,marivan,IR,50.58,clear sky,35.52,46.18,Miran Hotel
1357,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1358,east london,ZA,67.42,broken clouds,-33.02,27.91,Tu Casa
1359,esperance,AU,55.4,overcast clouds,-33.87,121.9,Hospitality Esperance
1364,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1366,jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
1367,new norfolk,AU,68.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
1370,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1371,castro,BR,60.66,broken clouds,-24.79,-50.01,CHACARA BAILLY
1374,tuktoyaktuk,CA,26.6,light snow,69.45,-133.04,End of The Road Ltd.
1378,san jose,US,64.99,few clouds,37.34,-121.89,The Westin San Jose
1379,beloha,MG,68.59,clear sky,-25.17,45.05,
1381,lavrentiya,RU,36.39,clear sky,65.58,-171.0,
1382,menongue,AO,62.83,clear sky,-14.66,17.69,Ritz Lauca
1385,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1386,puerto ayora,EC,68.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1387,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1391,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1395,huarmey,PE,62.96,broken clouds,-10.07,-78.15,Hotel Miramar
1397,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1400,pacific grove,US,59.0,overcast clouds,36.62,-121.92,Lovers Point Inn
1402,hirara,JP,69.8,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
1403,tasiilaq,GL,37.4,overcast clouds,65.61,-37.64,The Red House
1404,paramonga,PE,62.51,scattered clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
1405,kenai,US,37.4,clear sky,60.55,-151.26,Aspen Extended Stay Suites
1407,puerto ayora,EC,68.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1409,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1411,nome,US,41.0,clear sky,64.5,-165.41,Dredge 7 Inn
1414,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1416,port elizabeth,ZA,66.2,mist,-33.92,25.57,39 On Nile Guest House
1419,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1420,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1421,malatya,TR,42.8,clear sky,38.5,38.0,
1423,tahe,CN,31.26,clear sky,52.33,124.73,塔河宾馆
1424,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1426,thompson,CA,26.6,light snow,55.74,-97.86,Burntwood Hotel
1428,albany,US,57.99,overcast clouds,42.6,-73.97,
1429,tuatapere,NZ,64.0,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
1430,fortuna,US,53.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
1431,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1433,albany,US,57.99,overcast clouds,42.6,-73.97,
1435,novokayakent,RU,57.2,broken clouds,42.39,47.99,"Baza Otdykha ""Svyazist"""
1439,fortuna,US,53.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
1441,cape town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
1444,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1447,lavrentiya,RU,36.39,clear sky,65.58,-171.0,
1450,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1452,kodinsk,RU,34.86,broken clouds,58.69,99.18,
1453,jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
1454,codrington,AU,60.04,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
1458,sabzevar,IR,48.33,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
1459,port lincoln,AU,61.25,light rain,-34.73,135.87,Port Lincoln Hotel
1460,imbituba,BR,69.8,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
1461,hofn,IS,41.74,light rain,64.25,-15.21,Hótel Höfn
1463,jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
1464,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1465,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1468,pevek,RU,29.3,few clouds,69.7,170.31,Severnoye Zoloto
1469,gap,FR,51.01,light rain,44.67,6.0,La Griotte
1470,cape town,ZA,64.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
1471,hobart,AU,68.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
1472,mataura,NZ,64.0,moderate rain,-46.19,168.86,Ellie's Villa
1473,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1475,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1476,ayagoz,KZ,40.41,overcast clouds,47.97,80.44,Gostinitsa Nur
1479,tuktoyaktuk,CA,26.6,light snow,69.45,-133.04,End of The Road Ltd.
1480,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
1481,hobart,AU,68.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
1482,hermanus,ZA,63.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
1484,nanortalik,GL,28.72,few clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
1485,coquimbo,CL,53.6,clear sky,-29.95,-71.34,Hotel San Juan
